agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
71,0,15,7,15,7,424.32,506.20,81.88,1,1,2,1.00,1,0,109.11,
72,0,15,7,15,7,424.38,516.30,91.92,1,1,2,1.00,1,0,122.47,
73,0,15,7,15,7,424.44,516.30,91.86,1,1,2,1.00,2,0,122.47,
74,0,15,7,15,7,424.50,506.40,81.90,1,1,2,1.00,1,0,109.11,
75,0,15,7,15,7,424.56,506.40,81.84,1,1,2,1.00,1,0,109.11,
76,0,15,7,15,7,424.62,516.50,91.88,1,1,2,1.00,1,0,122.47,
77,0,15,7,15,7,424.68,506.50,81.82,1,1,2,1.00,1,0,109.11,
78,0,15,7,15,7,424.74,506.60,81.86,1,1,2,1.00,1,0,109.11,
79,0,15,7,15,7,424.80,516.70,91.90,1,1,2,1.00,2,0,122.47,
80,0,15,7,15,7,424.86,516.70,91.84,1,1,2,1.00,1,0,122.47,
81,0,15,7,15,7,424.92,506.80,81.88,1,1,2,1.00,1,0,109.11,
82,0,15,7,15,7,424.98,506.80,81.82,1,1,2,1.00,1,0,109.11,
83,0,15,7,15,7,425.04,516.90,91.86,1,1,2,1.00,1,0,122.47,
84,0,15,7,15,7,425.10,507.00,81.90,1,1,2,1.00,1,0,109.11,
85,0,15,7,15,7,425.16,507.00,81.84,1,1,2,1.00,1,0,109.11,
86,0,15,7,15,7,425.22,517.10,91.88,1,1,2,1.00,1,0,122.47,
87,0,15,7,15,7,425.28,517.20,91.92,1,1,2,1.00,1,0,122.47,
88,0,15,7,15,7,425.34,507.20,81.86,1,1,2,1.00,1,0,109.11,
89,0,15,7,15,7,425.40,517.30,91.90,1,1,2,1.00,1,0,122.47,
90,0,15,7,15,7,425.46,517.50,92.04,1,1,2,1.00,1,0,122.47,
91,0,15,7,15,7,425.52,507.40,81.88,1,1,2,1.00,1,0,109.11,
92,0,15,7,15,7,425.58,507.40,81.82,1,1,2,1.00,1,0,109.11,
93,0,15,7,15,7,425.64,517.50,91.86,1,1,2,1.00,2,0,122.47,
94,0,15,7,15,7,425.70,517.60,91.90,1,1,2,1.00,2,0,122.47,
95,0,15,7,15,7,425.76,507.60,81.84,1,1,2,1.00,2,0,109.11,
96,0,15,7,15,7,425.82,517.70,91.88,1,1,2,1.00,1,0,122.47,
97,0,15,7,15,7,425.88,517.80,91.92,1,1,2,1.00,1,0,122.47,
98,0,15,7,15,7,425.94,507.80,81.86,1,1,2,1.00,1,0,109.11,
99,0,15,7,15,7,426.00,507.90,81.90,1,1,2,1.00,2,0,109.11,
100,0,15,7,15,7,426.06,517.90,91.84,1,1,2,1.00,1,0,122.47,
101,0,15,7,15,7,426.12,508.00,81.88,1,1,2,1.00,1,0,109.11,
102,0,15,7,15,7,426.18,508.00,81.82,1,1,2,1.00,1,0,109.11,
103,0,15,7,15,7,426.24,518.10,91.86,1,1,2,1.00,2,0,122.47,
104,0,15,7,15,7,426.30,518.20,91.90,1,1,2,1.00,1,0,122.47,
105,0,15,7,15,7,426.36,508.20,81.84,1,1,2,1.00,1,0,109.11,
106,0,15,7,15,7,426.42,508.30,81.88,1,1,2,1.00,2,0,109.11,
107,0,15,7,15,7,426.48,518.40,91.92,1,1,2,1.00,1,0,122.47,
108,0,15,7,15,7,426.54,508.40,81.86,1,1,2,1.00,1,0,109.11,
109,0,15,7,15,7,426.60,508.50,81.90,1,1,2,1.00,1,0,109.11,
110,0,15,7,15,7,426.66,518.50,91.84,1,1,2,1.00,2,0,122.47,
111,0,15,7,15,7,426.72,518.60,91.88,1,1,2,1.00,1,0,122.47,
112,0,15,7,15,7,426.78,508.60,81.82,1,1,2,1.00,1,0,109.11,
