from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
10,6,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.308822795577,36.190267043952,0.0 129.243657684758,36.0580538660333,0.0</coordinates></LineString>",10,6,
3,11,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.313582979751,36.04248430988,0.0 129.308561457042,36.000799527216,0.0</coordinates></LineString>",3,11,
11,3,a,420,540,1070,1500.0000,0.1783,0.0000,80.0000,80.0000,100,A,0,0.0000,1070,0.0000,0.0000,10700.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1070,0,0,0,"<LineString><coordinates>129.308561457042,36.000799527216,0.0 129.313582979751,36.04248430988,0.0</coordinates></LineString>",11,3,
11,12,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.308561457042,36.000799527216,0.0 129.348325902026,35.9688899005064,0.0</coordinates></LineString>",11,12,
12,11,a,420,540,1070,1500.0000,0.1783,0.0000,80.0000,79.9998,100,A,0,0.0000,1070,0.0000,0.0000,10700.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1070,0,0,0,"<LineString><coordinates>129.348325902026,35.9688899005064,0.0 129.308561457042,36.000799527216,0.0</coordinates></LineString>",12,11,
12,13,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.348325902026,35.9688899005064,0.0 129.436588790519,35.9519431432182,0.0</coordinates></LineString>",12,13,
13,12,a,420,540,2000,1500.0000,0.3333,0.0000,80.0000,80.0000,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.436588790519,35.9519431432182,0.0 129.348325902026,35.9688899005064,0.0</coordinates></LineString>",13,12,
14,15,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.453217691738,35.9901278016516,0.0 129.553611700846,36.0780704589578,0.0</coordinates></LineString>",14,15,
15,14,a,420,540,2000,1500.0000,0.3333,0.0605,80.0000,80.0000,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.553611700846,36.0780704589578,0.0 129.453217691738,35.9901278016516,0.0</coordinates></LineString>",15,14,
13,14,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.436588790519,35.9519431432182,0.0 129.453217691738,35.9901278016516,0.0</coordinates></LineString>",13,14,
