Unit of output:
,,distance=,miles
,,speed=,mph
,,energy=,1000 joule
,,CO2,NOX,CO,HC,PM,PM2.5=,g
 , , , , , ,1-1_2, , , , , , , , , , , , , , , , , , , , ,1-2_1, , , , , , , , , , , , , , , , , , , , ,3-3_4, , , , , , , , , , , , , , , , , , , , ,3-4_3, , , , , , , , , , , , , , , , , , , , ,9-1_5, , , , , , , , , , , , , , , , , , , , ,9-5_1, , , , , , , , , , , , , , , , , , , , ,10-5_6, , , , , , , , , , , , , , , , , , , , ,10-6_5, , , , , , , , , , , , , , , , , , , , ,7-6_7, , , , , , , , , , , , , , , , , , , , ,7-7_6, , , , , , , , , , , , , , , , , , , , ,8-3_7, , , , , , , , , , , , , , , , , , , , ,8-7_3, , , , , , , , , , , , , , , , , , , , ,4-5_8, , , , , , , , , , , , , , , , , , , , ,4-8_5, , , , , , , , , , , , , , , , , , , , ,11-7_8, , , , , , , , , , , , , , , , , , , , ,11-8_7, , , , , , , , , , , , , , , , , , , , ,12-2_9, , , , , , , , , , , , , , , , , , , , ,12-9_2, , , , , , , , , , , , , , , , , , , , ,5-8_9, , , , , , , , , , , , , , , , , , , , ,5-9_8, , , , , , , , , , , , , , , , , , , , ,6-4_9, , , , , , , , , , , , , , , , , , , , ,6-9_4, , , , , , , , , , , , , , , , , , , , ,2-2_4, , , , , , , , , , , , , , , , , , , , ,2-4_2, , , , , , , , , , , , , , , , , , , , ,
scenario_no,scenario_name,scenario_data,number_of_iterations,day_no,traffic_flow_model,#_of_vehicles_1-1_2,percentage_1-1_2,avg_distance_1-1_2,avg_travel_time(min)_1-1_2,avg_speed_1-1_2,avg_toll_cost_1-1_2,avg_energy_1-1_2,avg_CO2_1-1_2,avg_NOX_1-1_2,avg_CO_1-1_2,avg_HC_1-1_2,avg_PM_1-1_2,avg_PM2_5_1-1_2,avg_MilesPerGallon_1-1_2,SOV_volume1-1_2,HOV_volume1-1_2,Truck_volume1-1_2,Intermodal_volume1-1_2,number_of_crashes_per_year1-1_2,number_of_fatal_and_injury_crashes_per_year1-1_2,number_of_property_damage_only_crashes_per_year1-1_2,#_of_vehicles_1-2_1,percentage_1-2_1,avg_distance_1-2_1,avg_travel_time(min)_1-2_1,avg_speed_1-2_1,avg_toll_cost_1-2_1,avg_energy_1-2_1,avg_CO2_1-2_1,avg_NOX_1-2_1,avg_CO_1-2_1,avg_HC_1-2_1,avg_PM_1-2_1,avg_PM2_5_1-2_1,avg_MilesPerGallon_1-2_1,SOV_volume1-2_1,HOV_volume1-2_1,Truck_volume1-2_1,Intermodal_volume1-2_1,number_of_crashes_per_year1-2_1,number_of_fatal_and_injury_crashes_per_year1-2_1,number_of_property_damage_only_crashes_per_year1-2_1,#_of_vehicles_3-3_4,percentage_3-3_4,avg_distance_3-3_4,avg_travel_time(min)_3-3_4,avg_speed_3-3_4,avg_toll_cost_3-3_4,avg_energy_3-3_4,avg_CO2_3-3_4,avg_NOX_3-3_4,avg_CO_3-3_4,avg_HC_3-3_4,avg_PM_3-3_4,avg_PM2_5_3-3_4,avg_MilesPerGallon_3-3_4,SOV_volume3-3_4,HOV_volume3-3_4,Truck_volume3-3_4,Intermodal_volume3-3_4,number_of_crashes_per_year3-3_4,number_of_fatal_and_injury_crashes_per_year3-3_4,number_of_property_damage_only_crashes_per_year3-3_4,#_of_vehicles_3-4_3,percentage_3-4_3,avg_distance_3-4_3,avg_travel_time(min)_3-4_3,avg_speed_3-4_3,avg_toll_cost_3-4_3,avg_energy_3-4_3,avg_CO2_3-4_3,avg_NOX_3-4_3,avg_CO_3-4_3,avg_HC_3-4_3,avg_PM_3-4_3,avg_PM2_5_3-4_3,avg_MilesPerGallon_3-4_3,SOV_volume3-4_3,HOV_volume3-4_3,Truck_volume3-4_3,Intermodal_volume3-4_3,number_of_crashes_per_year3-4_3,number_of_fatal_and_injury_crashes_per_year3-4_3,number_of_property_damage_only_crashes_per_year3-4_3,#_of_vehicles_9-1_5,percentage_9-1_5,avg_distance_9-1_5,avg_travel_time(min)_9-1_5,avg_speed_9-1_5,avg_toll_cost_9-1_5,avg_energy_9-1_5,avg_CO2_9-1_5,avg_NOX_9-1_5,avg_CO_9-1_5,avg_HC_9-1_5,avg_PM_9-1_5,avg_PM2_5_9-1_5,avg_MilesPerGallon_9-1_5,SOV_volume9-1_5,HOV_volume9-1_5,Truck_volume9-1_5,Intermodal_volume9-1_5,number_of_crashes_per_year9-1_5,number_of_fatal_and_injury_crashes_per_year9-1_5,number_of_property_damage_only_crashes_per_year9-1_5,#_of_vehicles_9-5_1,percentage_9-5_1,avg_distance_9-5_1,avg_travel_time(min)_9-5_1,avg_speed_9-5_1,avg_toll_cost_9-5_1,avg_energy_9-5_1,avg_CO2_9-5_1,avg_NOX_9-5_1,avg_CO_9-5_1,avg_HC_9-5_1,avg_PM_9-5_1,avg_PM2_5_9-5_1,avg_MilesPerGallon_9-5_1,SOV_volume9-5_1,HOV_volume9-5_1,Truck_volume9-5_1,Intermodal_volume9-5_1,number_of_crashes_per_year9-5_1,number_of_fatal_and_injury_crashes_per_year9-5_1,number_of_property_damage_only_crashes_per_year9-5_1,#_of_vehicles_10-5_6,percentage_10-5_6,avg_distance_10-5_6,avg_travel_time(min)_10-5_6,avg_speed_10-5_6,avg_toll_cost_10-5_6,avg_energy_10-5_6,avg_CO2_10-5_6,avg_NOX_10-5_6,avg_CO_10-5_6,avg_HC_10-5_6,avg_PM_10-5_6,avg_PM2_5_10-5_6,avg_MilesPerGallon_10-5_6,SOV_volume10-5_6,HOV_volume10-5_6,Truck_volume10-5_6,Intermodal_volume10-5_6,number_of_crashes_per_year10-5_6,number_of_fatal_and_injury_crashes_per_year10-5_6,number_of_property_damage_only_crashes_per_year10-5_6,#_of_vehicles_10-6_5,percentage_10-6_5,avg_distance_10-6_5,avg_travel_time(min)_10-6_5,avg_speed_10-6_5,avg_toll_cost_10-6_5,avg_energy_10-6_5,avg_CO2_10-6_5,avg_NOX_10-6_5,avg_CO_10-6_5,avg_HC_10-6_5,avg_PM_10-6_5,avg_PM2_5_10-6_5,avg_MilesPerGallon_10-6_5,SOV_volume10-6_5,HOV_volume10-6_5,Truck_volume10-6_5,Intermodal_volume10-6_5,number_of_crashes_per_year10-6_5,number_of_fatal_and_injury_crashes_per_year10-6_5,number_of_property_damage_only_crashes_per_year10-6_5,#_of_vehicles_7-6_7,percentage_7-6_7,avg_distance_7-6_7,avg_travel_time(min)_7-6_7,avg_speed_7-6_7,avg_toll_cost_7-6_7,avg_energy_7-6_7,avg_CO2_7-6_7,avg_NOX_7-6_7,avg_CO_7-6_7,avg_HC_7-6_7,avg_PM_7-6_7,avg_PM2_5_7-6_7,avg_MilesPerGallon_7-6_7,SOV_volume7-6_7,HOV_volume7-6_7,Truck_volume7-6_7,Intermodal_volume7-6_7,number_of_crashes_per_year7-6_7,number_of_fatal_and_injury_crashes_per_year7-6_7,number_of_property_damage_only_crashes_per_year7-6_7,#_of_vehicles_7-7_6,percentage_7-7_6,avg_distance_7-7_6,avg_travel_time(min)_7-7_6,avg_speed_7-7_6,avg_toll_cost_7-7_6,avg_energy_7-7_6,avg_CO2_7-7_6,avg_NOX_7-7_6,avg_CO_7-7_6,avg_HC_7-7_6,avg_PM_7-7_6,avg_PM2_5_7-7_6,avg_MilesPerGallon_7-7_6,SOV_volume7-7_6,HOV_volume7-7_6,Truck_volume7-7_6,Intermodal_volume7-7_6,number_of_crashes_per_year7-7_6,number_of_fatal_and_injury_crashes_per_year7-7_6,number_of_property_damage_only_crashes_per_year7-7_6,#_of_vehicles_8-3_7,percentage_8-3_7,avg_distance_8-3_7,avg_travel_time(min)_8-3_7,avg_speed_8-3_7,avg_toll_cost_8-3_7,avg_energy_8-3_7,avg_CO2_8-3_7,avg_NOX_8-3_7,avg_CO_8-3_7,avg_HC_8-3_7,avg_PM_8-3_7,avg_PM2_5_8-3_7,avg_MilesPerGallon_8-3_7,SOV_volume8-3_7,HOV_volume8-3_7,Truck_volume8-3_7,Intermodal_volume8-3_7,number_of_crashes_per_year8-3_7,number_of_fatal_and_injury_crashes_per_year8-3_7,number_of_property_damage_only_crashes_per_year8-3_7,#_of_vehicles_8-7_3,percentage_8-7_3,avg_distance_8-7_3,avg_travel_time(min)_8-7_3,avg_speed_8-7_3,avg_toll_cost_8-7_3,avg_energy_8-7_3,avg_CO2_8-7_3,avg_NOX_8-7_3,avg_CO_8-7_3,avg_HC_8-7_3,avg_PM_8-7_3,avg_PM2_5_8-7_3,avg_MilesPerGallon_8-7_3,SOV_volume8-7_3,HOV_volume8-7_3,Truck_volume8-7_3,Intermodal_volume8-7_3,number_of_crashes_per_year8-7_3,number_of_fatal_and_injury_crashes_per_year8-7_3,number_of_property_damage_only_crashes_per_year8-7_3,#_of_vehicles_4-5_8,percentage_4-5_8,avg_distance_4-5_8,avg_travel_time(min)_4-5_8,avg_speed_4-5_8,avg_toll_cost_4-5_8,avg_energy_4-5_8,avg_CO2_4-5_8,avg_NOX_4-5_8,avg_CO_4-5_8,avg_HC_4-5_8,avg_PM_4-5_8,avg_PM2_5_4-5_8,avg_MilesPerGallon_4-5_8,SOV_volume4-5_8,HOV_volume4-5_8,Truck_volume4-5_8,Intermodal_volume4-5_8,number_of_crashes_per_year4-5_8,number_of_fatal_and_injury_crashes_per_year4-5_8,number_of_property_damage_only_crashes_per_year4-5_8,#_of_vehicles_4-8_5,percentage_4-8_5,avg_distance_4-8_5,avg_travel_time(min)_4-8_5,avg_speed_4-8_5,avg_toll_cost_4-8_5,avg_energy_4-8_5,avg_CO2_4-8_5,avg_NOX_4-8_5,avg_CO_4-8_5,avg_HC_4-8_5,avg_PM_4-8_5,avg_PM2_5_4-8_5,avg_MilesPerGallon_4-8_5,SOV_volume4-8_5,HOV_volume4-8_5,Truck_volume4-8_5,Intermodal_volume4-8_5,number_of_crashes_per_year4-8_5,number_of_fatal_and_injury_crashes_per_year4-8_5,number_of_property_damage_only_crashes_per_year4-8_5,#_of_vehicles_11-7_8,percentage_11-7_8,avg_distance_11-7_8,avg_travel_time(min)_11-7_8,avg_speed_11-7_8,avg_toll_cost_11-7_8,avg_energy_11-7_8,avg_CO2_11-7_8,avg_NOX_11-7_8,avg_CO_11-7_8,avg_HC_11-7_8,avg_PM_11-7_8,avg_PM2_5_11-7_8,avg_MilesPerGallon_11-7_8,SOV_volume11-7_8,HOV_volume11-7_8,Truck_volume11-7_8,Intermodal_volume11-7_8,number_of_crashes_per_year11-7_8,number_of_fatal_and_injury_crashes_per_year11-7_8,number_of_property_damage_only_crashes_per_year11-7_8,#_of_vehicles_11-8_7,percentage_11-8_7,avg_distance_11-8_7,avg_travel_time(min)_11-8_7,avg_speed_11-8_7,avg_toll_cost_11-8_7,avg_energy_11-8_7,avg_CO2_11-8_7,avg_NOX_11-8_7,avg_CO_11-8_7,avg_HC_11-8_7,avg_PM_11-8_7,avg_PM2_5_11-8_7,avg_MilesPerGallon_11-8_7,SOV_volume11-8_7,HOV_volume11-8_7,Truck_volume11-8_7,Intermodal_volume11-8_7,number_of_crashes_per_year11-8_7,number_of_fatal_and_injury_crashes_per_year11-8_7,number_of_property_damage_only_crashes_per_year11-8_7,#_of_vehicles_12-2_9,percentage_12-2_9,avg_distance_12-2_9,avg_travel_time(min)_12-2_9,avg_speed_12-2_9,avg_toll_cost_12-2_9,avg_energy_12-2_9,avg_CO2_12-2_9,avg_NOX_12-2_9,avg_CO_12-2_9,avg_HC_12-2_9,avg_PM_12-2_9,avg_PM2_5_12-2_9,avg_MilesPerGallon_12-2_9,SOV_volume12-2_9,HOV_volume12-2_9,Truck_volume12-2_9,Intermodal_volume12-2_9,number_of_crashes_per_year12-2_9,number_of_fatal_and_injury_crashes_per_year12-2_9,number_of_property_damage_only_crashes_per_year12-2_9,#_of_vehicles_12-9_2,percentage_12-9_2,avg_distance_12-9_2,avg_travel_time(min)_12-9_2,avg_speed_12-9_2,avg_toll_cost_12-9_2,avg_energy_12-9_2,avg_CO2_12-9_2,avg_NOX_12-9_2,avg_CO_12-9_2,avg_HC_12-9_2,avg_PM_12-9_2,avg_PM2_5_12-9_2,avg_MilesPerGallon_12-9_2,SOV_volume12-9_2,HOV_volume12-9_2,Truck_volume12-9_2,Intermodal_volume12-9_2,number_of_crashes_per_year12-9_2,number_of_fatal_and_injury_crashes_per_year12-9_2,number_of_property_damage_only_crashes_per_year12-9_2,#_of_vehicles_5-8_9,percentage_5-8_9,avg_distance_5-8_9,avg_travel_time(min)_5-8_9,avg_speed_5-8_9,avg_toll_cost_5-8_9,avg_energy_5-8_9,avg_CO2_5-8_9,avg_NOX_5-8_9,avg_CO_5-8_9,avg_HC_5-8_9,avg_PM_5-8_9,avg_PM2_5_5-8_9,avg_MilesPerGallon_5-8_9,SOV_volume5-8_9,HOV_volume5-8_9,Truck_volume5-8_9,Intermodal_volume5-8_9,number_of_crashes_per_year5-8_9,number_of_fatal_and_injury_crashes_per_year5-8_9,number_of_property_damage_only_crashes_per_year5-8_9,#_of_vehicles_5-9_8,percentage_5-9_8,avg_distance_5-9_8,avg_travel_time(min)_5-9_8,avg_speed_5-9_8,avg_toll_cost_5-9_8,avg_energy_5-9_8,avg_CO2_5-9_8,avg_NOX_5-9_8,avg_CO_5-9_8,avg_HC_5-9_8,avg_PM_5-9_8,avg_PM2_5_5-9_8,avg_MilesPerGallon_5-9_8,SOV_volume5-9_8,HOV_volume5-9_8,Truck_volume5-9_8,Intermodal_volume5-9_8,number_of_crashes_per_year5-9_8,number_of_fatal_and_injury_crashes_per_year5-9_8,number_of_property_damage_only_crashes_per_year5-9_8,#_of_vehicles_6-4_9,percentage_6-4_9,avg_distance_6-4_9,avg_travel_time(min)_6-4_9,avg_speed_6-4_9,avg_toll_cost_6-4_9,avg_energy_6-4_9,avg_CO2_6-4_9,avg_NOX_6-4_9,avg_CO_6-4_9,avg_HC_6-4_9,avg_PM_6-4_9,avg_PM2_5_6-4_9,avg_MilesPerGallon_6-4_9,SOV_volume6-4_9,HOV_volume6-4_9,Truck_volume6-4_9,Intermodal_volume6-4_9,number_of_crashes_per_year6-4_9,number_of_fatal_and_injury_crashes_per_year6-4_9,number_of_property_damage_only_crashes_per_year6-4_9,#_of_vehicles_6-9_4,percentage_6-9_4,avg_distance_6-9_4,avg_travel_time(min)_6-9_4,avg_speed_6-9_4,avg_toll_cost_6-9_4,avg_energy_6-9_4,avg_CO2_6-9_4,avg_NOX_6-9_4,avg_CO_6-9_4,avg_HC_6-9_4,avg_PM_6-9_4,avg_PM2_5_6-9_4,avg_MilesPerGallon_6-9_4,SOV_volume6-9_4,HOV_volume6-9_4,Truck_volume6-9_4,Intermodal_volume6-9_4,number_of_crashes_per_year6-9_4,number_of_fatal_and_injury_crashes_per_year6-9_4,number_of_property_damage_only_crashes_per_year6-9_4,#_of_vehicles_2-2_4,percentage_2-2_4,avg_distance_2-2_4,avg_travel_time(min)_2-2_4,avg_speed_2-2_4,avg_toll_cost_2-2_4,avg_energy_2-2_4,avg_CO2_2-2_4,avg_NOX_2-2_4,avg_CO_2-2_4,avg_HC_2-2_4,avg_PM_2-2_4,avg_PM2_5_2-2_4,avg_MilesPerGallon_2-2_4,SOV_volume2-2_4,HOV_volume2-2_4,Truck_volume2-2_4,Intermodal_volume2-2_4,number_of_crashes_per_year2-2_4,number_of_fatal_and_injury_crashes_per_year2-2_4,number_of_property_damage_only_crashes_per_year2-2_4,#_of_vehicles_2-4_2,percentage_2-4_2,avg_distance_2-4_2,avg_travel_time(min)_2-4_2,avg_speed_2-4_2,avg_toll_cost_2-4_2,avg_energy_2-4_2,avg_CO2_2-4_2,avg_NOX_2-4_2,avg_CO_2-4_2,avg_HC_2-4_2,avg_PM_2-4_2,avg_PM2_5_2-4_2,avg_MilesPerGallon_2-4_2,SOV_volume2-4_2,HOV_volume2-4_2,Truck_volume2-4_2,Intermodal_volume2-4_2,number_of_crashes_per_year2-4_2,number_of_fatal_and_injury_crashes_per_year2-4_2,number_of_property_damage_only_crashes_per_year2-4_2,
 , , , ,1, ,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,21,63,20,-1.08421e-23,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,9,27.0319,19.9764,-1.08421e-23,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,test0, ,1,,2,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,21,63,20,1.00893e-43,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,9,27.0319,19.9764,1.00893e-43,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
 , , , ,1, ,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,21,83.3355,15.1196,-1.08421e-23,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,9,30.2955,17.8244,-1.08421e-23,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08421e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,test1, ,1,,2,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,21,83.3355,15.1196,1.00893e-43,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,100,9,30.2955,17.8244,1.00893e-43,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00893e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU Clock: 00:00:51 --
