agent_id,trip_id,from_zone_id,to_zone_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,toll_cost_in_dollar,emissions,distance_in_mile,TotalEnergy_(KJ),CO2_(g),NOX_(g),CO_(g),HC_(g),age,number_of_nodes,VMS_response_info,Evacuation_response_info,path_node_sequence,path_time_sequence,link_travel_time_sequence,path_sequence
10,0,15,7,420.66,502.50,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.7;446.5;450.8;459.0;463.3;467.0;473.2;481.0;502.5;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;420.70;0;0><14; 446.55;25.85;0.00><13; 450.77;4.22;0.00><12; 458.99;8.22;0.00><11; 463.29;4.30;0.00><3; 467.02;3.73;0.00><6; 473.16;6.14;0.00><5; 481.01;7.84;0.00><7; 502.50;21.49;0.00>"
11,0,15,7,420.72,502.60,-0.02,1,81.88,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.7;446.6;450.8;459.1;463.4;467.1;473.2;481.1;502.6;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;420.70;0;0><14; 446.61;25.91;0.00><13; 450.83;4.22;0.00><12; 459.05;8.22;0.00><11; 463.35;4.30;0.00><3; 467.08;3.73;0.00><6; 473.22;6.14;0.00><5; 481.07;7.84;0.00><7; 502.60;21.53;0.00>"
12,0,15,7,420.78,502.60,0.02,1,81.82,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.8;446.7;450.9;459.1;463.4;467.1;473.3;481.1;502.6;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;420.80;0;0><14; 446.67;25.87;0.00><13; 450.89;4.22;0.00><12; 459.11;8.22;0.00><11; 463.41;4.30;0.00><3; 467.14;3.73;0.00><6; 473.28;6.14;0.00><5; 481.13;7.84;0.00><7; 502.60;21.47;0.00>"
13,0,15,7,420.84,502.70,0.06,1,81.86,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.9;446.7;450.9;459.2;463.5;467.2;473.3;481.2;502.7;,25.83;4.22;8.22;4.30;3.73;6.14;7.84;21.51;,"<15;420.90;0;0><14; 446.73;25.83;0.00><13; 450.95;4.22;0.00><12; 459.17;8.22;0.00><11; 463.47;4.30;0.00><3; 467.20;3.73;0.00><6; 473.34;6.14;0.00><5; 481.19;7.84;0.00><7; 502.70;21.51;0.00>"
14,0,15,7,420.90,502.80,0.00,1,81.90,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,420.9;446.8;451.0;459.2;463.5;467.3;473.4;481.2;502.8;,25.89;4.22;8.22;4.30;3.73;6.14;7.84;21.55;,"<15;420.90;0;0><14; 446.79;25.89;0.00><13; 451.01;4.22;0.00><12; 459.23;8.22;0.00><11; 463.53;4.30;0.00><3; 467.26;3.73;0.00><6; 473.40;6.14;0.00><5; 481.25;7.84;0.00><7; 502.80;21.55;0.00>"
15,0,15,7,420.96,502.80,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.0;446.8;451.1;459.3;463.6;467.3;473.5;481.3;502.8;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;421.00;0;0><14; 446.85;25.85;0.00><13; 451.07;4.22;0.00><12; 459.29;8.22;0.00><11; 463.59;4.30;0.00><3; 467.32;3.73;0.00><6; 473.46;6.14;0.00><5; 481.31;7.84;0.00><7; 502.80;21.49;0.00>"
16,0,15,7,421.02,502.90,-0.02,1,81.88,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.0;446.9;451.1;459.4;463.7;467.4;473.5;481.4;502.9;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;421.00;0;0><14; 446.91;25.91;0.00><13; 451.13;4.22;0.00><12; 459.35;8.22;0.00><11; 463.65;4.30;0.00><3; 467.38;3.73;0.00><6; 473.52;6.14;0.00><5; 481.37;7.84;0.00><7; 502.90;21.53;0.00>"
17,0,15,7,421.08,502.90,0.02,1,81.82,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.1;447.0;451.2;459.4;463.7;467.4;473.6;481.4;502.9;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;421.10;0;0><14; 446.97;25.87;0.00><13; 451.19;4.22;0.00><12; 459.41;8.22;0.00><11; 463.71;4.30;0.00><3; 467.44;3.73;0.00><6; 473.58;6.14;0.00><5; 481.43;7.84;0.00><7; 502.90;21.47;0.00>"
18,0,15,7,421.14,513.00,0.06,1,91.86,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.2;447.0;451.2;459.5;464.5;467.7;468.1;472.9;477.5;483.7;491.5;513.0;,25.83;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.50;,"<15;421.20;0;0><14; 447.03;25.83;0.00><13; 451.25;4.22;0.00><12; 459.47;8.22;0.00><16; 464.47;5.00;0.00><1; 467.69;3.23;0.00><2; 468.14;0.45;0.00><4; 472.87;4.73;0.00><3; 477.52;4.65;0.00><6; 483.66;6.14;0.00><5; 491.50;7.84;0.00><7; 513.00;21.50;0.00>"
19,0,15,7,421.20,503.10,0.00,1,81.90,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.2;447.1;451.3;459.5;463.8;467.6;473.7;481.5;503.1;,25.89;4.22;8.22;4.30;3.73;6.14;7.84;21.55;,"<15;421.20;0;0><14; 447.09;25.89;0.00><13; 451.31;4.22;0.00><12; 459.53;8.22;0.00><11; 463.83;4.30;0.00><3; 467.56;3.73;0.00><6; 473.70;6.14;0.00><5; 481.55;7.84;0.00><7; 503.10;21.55;0.00>"
20,0,15,7,421.26,503.10,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.3;447.1;451.4;459.6;463.9;467.6;473.8;481.6;503.1;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;421.30;0;0><14; 447.15;25.85;0.00><13; 451.37;4.22;0.00><12; 459.59;8.22;0.00><11; 463.89;4.30;0.00><3; 467.62;3.73;0.00><6; 473.76;6.14;0.00><5; 481.61;7.84;0.00><7; 503.10;21.49;0.00>"
21,0,15,7,421.32,513.20,-0.02,1,91.88,1,1,2,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.3;447.2;451.4;459.6;464.6;467.9;468.3;473.0;477.7;483.8;491.7;513.2;,25.91;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.52;,"<15;421.30;0;0><14; 447.21;25.91;0.00><13; 451.43;4.22;0.00><12; 459.65;8.22;0.00><16; 464.65;5.00;0.00><1; 467.87;3.23;0.00><2; 468.32;0.45;0.00><4; 473.05;4.73;0.00><3; 477.70;4.65;0.00><6; 483.84;6.14;0.00><5; 491.68;7.84;0.00><7; 513.20;21.52;0.00>"
22,0,15,7,421.38,513.30,0.02,1,91.92,1,1,2,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.4;447.3;451.5;459.7;464.7;467.9;468.4;473.1;477.8;483.9;491.7;513.3;,25.87;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.56;,"<15;421.40;0;0><14; 447.27;25.87;0.00><13; 451.49;4.22;0.00><12; 459.71;8.22;0.00><16; 464.71;5.00;0.00><1; 467.93;3.23;0.00><2; 468.38;0.45;0.00><4; 473.11;4.73;0.00><3; 477.76;4.65;0.00><6; 483.90;6.14;0.00><5; 491.74;7.84;0.00><7; 513.30;21.56;0.00>"
23,0,15,7,421.44,503.30,0.06,1,81.86,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.5;447.3;451.5;459.8;464.1;467.8;473.9;481.8;503.3;,25.83;4.22;8.22;4.30;3.73;6.14;7.84;21.51;,"<15;421.50;0;0><14; 447.33;25.83;0.00><13; 451.55;4.22;0.00><12; 459.77;8.22;0.00><11; 464.07;4.30;0.00><3; 467.80;3.73;0.00><6; 473.94;6.14;0.00><5; 481.79;7.84;0.00><7; 503.30;21.51;0.00>"
24,0,15,7,421.50,513.40,0.00,1,91.90,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.5;447.4;451.6;459.8;464.8;468.1;468.5;473.2;477.9;484.0;491.9;513.4;,25.89;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.54;,"<15;421.50;0;0><14; 447.39;25.89;0.00><13; 451.61;4.22;0.00><12; 459.83;8.22;0.00><16; 464.83;5.00;0.00><1; 468.05;3.23;0.00><2; 468.50;0.45;0.00><4; 473.23;4.73;0.00><3; 477.88;4.65;0.00><6; 484.02;6.14;0.00><5; 491.86;7.84;0.00><7; 513.40;21.54;0.00>"
25,0,15,7,421.56,513.40,0.04,1,91.84,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.6;447.4;451.7;459.9;464.9;468.1;468.6;473.3;477.9;484.1;491.9;513.4;,25.85;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.48;,"<15;421.60;0;0><14; 447.45;25.85;0.00><13; 451.67;4.22;0.00><12; 459.89;8.22;0.00><16; 464.89;5.00;0.00><1; 468.11;3.23;0.00><2; 468.56;0.45;0.00><4; 473.29;4.73;0.00><3; 477.94;4.65;0.00><6; 484.08;6.14;0.00><5; 491.92;7.84;0.00><7; 513.40;21.48;0.00>"
26,0,15,7,421.62,503.50,-0.02,1,81.88,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.6;447.5;451.7;459.9;464.3;468.0;474.1;482.0;503.5;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;421.60;0;0><14; 447.51;25.91;0.00><13; 451.73;4.22;0.00><12; 459.95;8.22;0.00><11; 464.25;4.30;0.00><3; 467.98;3.73;0.00><6; 474.12;6.14;0.00><5; 481.97;7.84;0.00><7; 503.50;21.53;0.00>"
27,0,15,7,421.68,503.50,0.02,1,81.82,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.7;447.6;451.8;460.0;464.3;468.0;474.2;482.0;503.5;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;421.70;0;0><14; 447.57;25.87;0.00><13; 451.79;4.22;0.00><12; 460.01;8.22;0.00><11; 464.31;4.30;0.00><3; 468.04;3.73;0.00><6; 474.18;6.14;0.00><5; 482.03;7.84;0.00><7; 503.50;21.47;0.00>"
28,0,15,7,421.74,513.60,0.06,1,91.86,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.8;447.6;451.8;460.1;465.1;468.3;468.7;473.5;478.1;484.3;492.1;513.6;,25.83;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.50;,"<15;421.80;0;0><14; 447.63;25.83;0.00><13; 451.85;4.22;0.00><12; 460.07;8.22;0.00><16; 465.07;5.00;0.00><1; 468.29;3.23;0.00><2; 468.74;0.45;0.00><4; 473.47;4.73;0.00><3; 478.12;4.65;0.00><6; 484.26;6.14;0.00><5; 492.10;7.84;0.00><7; 513.60;21.50;0.00>"
29,0,15,7,421.80,513.70,0.00,1,91.90,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.8;447.7;451.9;460.1;465.1;468.4;468.8;473.5;478.2;484.3;492.2;513.7;,25.89;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.54;,"<15;421.80;0;0><14; 447.69;25.89;0.00><13; 451.91;4.22;0.00><12; 460.13;8.22;0.00><16; 465.13;5.00;0.00><1; 468.35;3.23;0.00><2; 468.80;0.45;0.00><4; 473.53;4.73;0.00><3; 478.18;4.65;0.00><6; 484.32;6.14;0.00><5; 492.16;7.84;0.00><7; 513.70;21.54;0.00>"
